AN,NO_SEQ_COLL,MS_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,GRAVITE,NB_VICTIMES_TOTAL,NB_VEH_IMPLIQUES_ACCDN,"			""REG_ADM""",VITESSE_AUTOR,CD_GENRE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,CD_CATEG_ROUTE,CD_ASPCT_ROUTE,"			""CD_LOCLN_ACCDN""",CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_COND_METEO,IND_AUTO_CAMION_LEGER,IND_VEH_LOURD,IND_MOTO_CYCLO,"			""IND_VELO""",IND_PIETON
2018,2018 _ 11,5,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),<50,véhicule,11.0,1.0,4.0,2.0,Droit,99.0,9.0,,11.0,N,O,N,N,N
2018,2018 _ 12,6,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06),,sans collision,11.0,3.0,2.0,2.0,Droit,99.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 13,7,12:00:00-15:59:00,SEM,Léger,1,1.0,Montréal (06),,sans collision,11.0,1.0,9.0,2.0,Droit,99.0,9.0,,11.0,N,O,N,N,N
2018,2018 _ 14,10,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),<50,autre,11.0,1.0,9.0,2.0,Droit,99.0,9.0,,11.0,O,N,N,N,N
2018,2018 _ 15,10,16:00:00-19:59:00,FDS,Dommages matériels seulement,0,2.0,Montérégie (16), 50,véhicule,12.0,3.0,3.0,1.0,Droit,33.0,45.0,,14.0,O,N,N,N,N
2018,2018 _ 16,11,00:00:00-03:59:00,SEM,Dommages matériels seulement,0,1.0,Montérégie (16),,objet fixe,18.0,3.0,2.0,1.0,Droit,12.0,23.0,,19.0,O,N,N,N,N
2018,2018 _ 17,11,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,autre,16.0,3.0,4.0,2.0,Droit,99.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 18,4,20:00:00-23:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06),,sans collision,12.0,4.0,4.0,2.0,Droit,99.0,23.0,,17.0,N,N,N,N,N
2018,2018 _ 19,7,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),<50,véhicule,11.0,1.0,4.0,2.0,Droit,99.0,9.0,,11.0,N,O,N,N,N
2018,2018 _ 20,7,08:00:00-11:59:00,SEM,Léger,1,1.0,Montréal (06),<50,sans collision,11.0,1.0,9.0,2.0,Droit,99.0,23.0,,11.0,N,O,N,N,N
2018,2018 _ 21,10,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,14.0,4.0,3.0,2.0,Droit,99.0,9.0,O,11.0,O,O,N,N,N
2018,2018 _ 22,12,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06),<50,sans collision,18.0,3.0,4.0,2.0,Droit,99.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 23,3,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,2.0,Nord-du-Québec (10),,véhicule,17.0,1.0,4.0,2.0,Droit,99.0,,,11.0,O,O,N,N,N
2018,2018 _ 24,7,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,1.0,Côte-Nord (09), 70,sans collision,11.0,1.0,9.0,1.0,Courbe,99.0,23.0,,11.0,N,N,N,N,N
2018,2018 _ 25,9,16:00:00-19:59:00,SEM,Dommages matériels seulement,0,1.0,Côte-Nord (09), 70,sans collision,11.0,1.0,6.0,1.0,Droit,34.0,23.0,,11.0,N,O,N,N,N
2018,2018 _ 26,10,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,1.0,Côte-Nord (09), 70,sans collision,12.0,2.0,9.0,1.0,Droit,,23.0,,11.0,O,N,N,N,N
2018,2018 _ 27,12,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Saguenay/-Lac-Saint-Jean (02),<50,véhicule,16.0,1.0,5.0,1.0,Droit,34.0,23.0,,11.0,O,O,N,N,N
2018,2018 _ 28,12,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,1.0,Saguenay/-Lac-Saint-Jean (02),<50,objet fixe,18.0,4.0,3.0,1.0,Courbe,12.0,9.0,,12.0,N,O,N,N,N
2018,2018 _ 29,4,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 60,,11.0,1.0,9.0,1.0,Droit,69.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 30,6,08:00:00-11:59:00,FDS,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Outaouais (07),,véhicule,11.0,1.0,9.0,2.0,Droit,99.0,,,11.0,O,N,N,N,N
2018,2018 _ 31,6,12:00:00-15:59:00,SEM,Mortel ou grave,1,2.0,Outaouais (07), 60,cycliste,11.0,1.0,5.0,1.0,Droit,99.0,23.0,,11.0,O,N,N,O,N
2018,2018 _ 32,7,16:00:00-19:59:00,SEM,Léger,1,2.0,Outaouais (07),,cycliste,11.0,1.0,9.0,2.0,Droit,99.0,23.0,,11.0,O,N,N,O,N
2018,2018 _ 33,7,20:00:00-23:59:00,SEM,Mortel ou grave,1,1.0,Outaouais (07), 60,sans collision,11.0,4.0,5.0,1.0,Droit,34.0,23.0,,11.0,N,N,O,N,N
2018,2018 _ 34,7,08:00:00-11:59:00,FDS,Dommages matériels seulement,0,1.0,Outaouais (07), 60,objet fixe,11.0,1.0,9.0,1.0,Courbe,33.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 35,8,20:00:00-23:59:00,FDS,Dommages matériels seulement,0,2.0,Outaouais (07), 50,véhicule,11.0,3.0,9.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 36,10,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,1.0,Outaouais (07), 60,objet fixe,12.0,4.0,5.0,1.0,Courbe,,23.0,,14.0,O,N,N,N,N
2018,2018 _ 37,10,20:00:00-23:59:00,SEM,Mortel ou grave,2,1.0,Outaouais (07), 60,objet fixe,12.0,4.0,6.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 38,5,20:00:00-23:59:00,SEM,Mortel ou grave,2,1.0,Outaouais (07), 60,véhicule,11.0,4.0,5.0,1.0,Courbe,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 39,6,16:00:00-19:59:00,SEM,Léger,1,1.0,Outaouais (07), 60,objet fixe,12.0,1.0,9.0,1.0,Courbe,99.0,23.0,,14.0,O,N,N,N,N
2018,2018 _ 40,8,12:00:00-15:59:00,FDS,Dommages matériels seulement,0,2.0,Outaouais (07), 60,véhicule,11.0,1.0,9.0,1.0,Droit,99.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 41,8,12:00:00-15:59:00,FDS,Dommages matériels seulement,0,2.0,Outaouais (07), 50,véhicule,11.0,1.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 42,9,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Outaouais (07),<50,véhicule,14.0,1.0,9.0,2.0,Droit,,,,11.0,O,N,N,N,N
2018,2018 _ 43,9,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,1.0,Outaouais (07), 60,sans collision,11.0,4.0,9.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 44,1,16:00:00-19:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,11.0,3.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 45,1,16:00:00-19:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06), 50,piéton,16.0,3.0,2.0,1.0,Droit,12.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 46,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,18.0,1.0,3.0,1.0,Droit,12.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 47,1,16:00:00-19:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,16.0,3.0,3.0,1.0,Droit,12.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 48,1,20:00:00-23:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,16.0,3.0,2.0,1.0,Droit,12.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 49,1,04:00:00-07:59:00,FDS,Dommages matériels seulement,0,1.0,Montréal (06), 50,sans collision,18.0,1.0,2.0,1.0,Droit,34.0,45.0,,11.0,O,N,N,N,N
2018,2018 _ 50,1,08:00:00-11:59:00,FDS,Dommages matériels seulement,0,1.0,Montréal (06), 50,objet fixe,18.0,1.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 51,1,20:00:00-23:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,16.0,3.0,2.0,1.0,Droit,99.0,45.0,,17.0,O,N,N,N,N
2018,2018 _ 52,1,16:00:00-19:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,3.0,2.0,1.0,Droit,12.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 53,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06), 50,objet fixe,16.0,1.0,2.0,1.0,Droit,12.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 54,1,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,3.0,2.0,1.0,Droit,,23.0,,11.0,O,N,N,N,N
2018,2018 _ 55,1,04:00:00-07:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06), 50,objet fixe,16.0,1.0,2.0,1.0,Droit,99.0,23.0,,11.0,N,N,N,N,N
2018,2018 _ 56,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06),,sans collision,12.0,1.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 57,1,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,2.0,2.0,2.0,Droit,99.0,9.0,,17.0,O,N,N,N,N
2018,2018 _ 58,1,16:00:00-19:59:00,SEM,Léger,9,9.0,Montréal (06), 50,véhicule,12.0,3.0,3.0,1.0,Droit,12.0,45.0,,11.0,O,N,N,N,N
2018,2018 _ 59,1,04:00:00-07:59:00,SEM,Léger,1,2.0,Montréal (06), 50,véhicule,12.0,2.0,9.0,1.0,Droit,33.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 60,1,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06),,objet fixe,12.0,2.0,2.0,2.0,Droit,99.0,9.0,,14.0,O,N,N,N,N
2018,2018 _ 61,1,20:00:00-23:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06), 50,piéton,12.0,3.0,3.0,1.0,Droit,12.0,23.0,,14.0,O,N,N,N,N
2018,2018 _ 62,1,00:00:00-03:59:00,FDS,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06), 50,sans collision,16.0,3.0,3.0,1.0,Droit,12.0,23.0,,18.0,O,N,N,N,N
2018,2018 _ 63,1,00:00:00-03:59:00,FDS,Dommages matériels seulement,0,1.0,Montréal (06),,objet fixe,16.0,3.0,1.0,1.0,Droit,12.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 64,1,08:00:00-11:59:00,FDS,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,,,,1.0,Droit,12.0,45.0,,11.0,O,N,N,N,N
2018,2018 _ 65,1,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),,véhicule,11.0,1.0,2.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 66,1,04:00:00-07:59:00,FDS,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),,véhicule,16.0,1.0,2.0,1.0,Droit,34.0,23.0,,18.0,O,N,N,N,N
2018,2018 _ 67,1,16:00:00-19:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,18.0,3.0,3.0,1.0,Droit,12.0,45.0,,11.0,O,N,N,N,N
2018,2018 _ 68,1,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,18.0,1.0,4.0,1.0,Droit,12.0,1.0,,12.0,O,O,N,N,N
2018,2018 _ 69,1,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,16.0,3.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 70,1,16:00:00-19:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,12.0,2.0,3.0,1.0,Droit,34.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 71,1,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,3.0,2.0,1.0,Droit,12.0,23.0,,11.0,N,O,N,N,N
2018,2018 _ 72,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06), 50,objet fixe,15.0,1.0,3.0,2.0,Droit,99.0,9.0,,12.0,O,N,N,N,N
2018,2018 _ 73,1,20:00:00-23:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,3.0,1.0,2.0,Droit,99.0,9.0,,11.0,O,N,N,N,N
2018,2018 _ 74,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,1.0,2.0,2.0,Droit,99.0,,,11.0,O,N,N,N,N
2018,2018 _ 75,1,08:00:00-11:59:00,FDS,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),<50,véhicule,12.0,1.0,3.0,2.0,Droit,99.0,,,12.0,O,N,N,N,N
2018,2018 _ 76,1,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,12.0,1.0,3.0,1.0,Droit,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 77,1,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06), 50,objet fixe,15.0,1.0,3.0,1.0,Droit,12.0,23.0,,14.0,O,N,N,N,N
2018,2018 _ 78,1,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,18.0,1.0,3.0,1.0,Droit,33.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 79,1,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,11.0,3.0,3.0,1.0,Droit,12.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 80,1,00:00:00-03:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06), 50,objet fixe,18.0,1.0,2.0,1.0,Droit,,23.0,,11.0,N,N,N,N,N
2018,2018 _ 81,1,04:00:00-07:59:00,SEM,Léger,2,2.0,Montréal (06), 50,véhicule,12.0,1.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 82,1,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,18.0,1.0,2.0,1.0,Courbe,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 83,1,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),,véhicule,12.0,3.0,2.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 84,1,12:00:00-15:59:00,FDS,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,11.0,1.0,3.0,1.0,Droit,33.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 85,1,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06),,autre,18.0,3.0,2.0,1.0,Droit,,9.0,,11.0,O,N,N,N,N
2018,2018 _ 86,1,12:00:00-15:59:00,SEM,Léger,1,2.0,Montréal (06), 50,véhicule,11.0,1.0,2.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 87,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,11.0,1.0,3.0,2.0,,99.0,,,11.0,O,N,N,N,N
2018,2018 _ 88,1,20:00:00-23:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,16.0,3.0,3.0,1.0,Droit,12.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 89,2,00:00:00-03:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06), 50,objet fixe,16.0,3.0,2.0,2.0,Droit,99.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 90,2,08:00:00-11:59:00,SEM,Léger,1,1.0,Montréal (06),<50,piéton,15.0,1.0,1.0,1.0,Droit,33.0,23.0,,12.0,O,N,N,N,O
2018,2018 _ 91,1,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06), 50,objet fixe,17.0,1.0,2.0,1.0,Droit,12.0,23.0,,11.0,N,N,N,N,N
2018,2018 _ 92,2,12:00:00-15:59:00,SEM,Léger,1,2.0,Montréal (06),<50,véhicule,11.0,1.0,1.0,1.0,Droit,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 93,2,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),,véhicule,12.0,1.0,2.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 94,2,00:00:00-03:59:00,FDS,Dommages matériels seulement,0,1.0,Montréal (06), 50,objet fixe,16.0,3.0,2.0,1.0,Droit,12.0,45.0,,17.0,O,N,N,N,N
2018,2018 _ 95,2,16:00:00-19:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,1.0,2.0,1.0,Droit,34.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 96,2,16:00:00-19:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,3.0,2.0,1.0,Droit,12.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 97,2,16:00:00-19:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,3.0,3.0,2.0,Droit,34.0,,,17.0,O,N,N,N,N
2018,2018 _ 98,2,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,15.0,1.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 99,2,12:00:00-15:59:00,SEM,Léger,1,2.0,Montréal (06), 50,véhicule,12.0,1.0,3.0,1.0,Droit,12.0,23.0,,17.0,O,N,N,N,N
2018,2018 _ 100,2,16:00:00-19:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06), 50,sans collision,16.0,1.0,2.0,1.0,Droit,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 101,2,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,12.0,3.0,2.0,1.0,Courbe,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 102,2,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),<50,véhicule,15.0,4.0,2.0,1.0,Droit,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 103,2,08:00:00-11:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06),,objet fixe,16.0,1.0,2.0,,Droit,,,,,O,N,N,N,N
2018,2018 _ 104,2,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,16.0,4.0,2.0,2.0,Droit,99.0,9.0,,11.0,O,N,N,N,N
2018,2018 _ 105,2,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,16.0,1.0,3.0,2.0,Courbe,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 106,2,16:00:00-19:59:00,SEM,Léger,1,2.0,Montréal (06),,véhicule,16.0,2.0,3.0,,Droit,,,,17.0,O,O,N,N,N
2018,2018 _ 107,2,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,16.0,1.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 108,2,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),<50,véhicule,17.0,1.0,2.0,1.0,Droit,33.0,23.0,,11.0,N,O,N,N,N
2018,2018 _ 109,2,04:00:00-07:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06),<50,autre,16.0,1.0,2.0,1.0,Droit,33.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 110,2,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),,véhicule,11.0,1.0,1.0,1.0,Droit,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 111,2,20:00:00-23:59:00,SEM,Léger,1,2.0,Montréal (06),,véhicule,12.0,3.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,O,N,N,N
2018,2018 _ 112,2,08:00:00-11:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),,véhicule,11.0,1.0,2.0,1.0,Droit,,23.0,,11.0,O,N,N,N,N
2018,2018 _ 113,2,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,11.0,1.0,3.0,1.0,Droit,12.0,45.0,O,11.0,O,N,N,N,N
2018,2018 _ 114,2,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,11.0,1.0,2.0,1.0,Droit,33.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 115,2,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,1.0,Montréal (06),<50,objet fixe,18.0,4.0,,1.0,Droit,34.0,23.0,,,N,N,N,N,N
2018,2018 _ 116,2,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,véhicule,15.0,1.0,3.0,1.0,Droit,34.0,23.0,,18.0,O,O,N,N,N
2018,2018 _ 117,2,20:00:00-23:59:00,FDS,Léger,2,2.0,Montréal (06), 50,véhicule,18.0,3.0,3.0,1.0,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 118,2,12:00:00-15:59:00,FDS,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,11.0,1.0,2.0,1.0,Droit,34.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 119,2,16:00:00-19:59:00,FDS,Léger,1,9.0,Montréal (06), 50,véhicule,11.0,1.0,3.0,1.0,Droit,33.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 120,2,20:00:00-23:59:00,FDS,Dommages matériels seulement,0,1.0,Montréal (06), 50,objet fixe,11.0,3.0,3.0,1.0,Courbe,12.0,1.0,,11.0,O,N,N,N,N
2018,2018 _ 121,2,08:00:00-11:59:00,SEM,Léger,1,9.0,Montréal (06),,véhicule,11.0,1.0,3.0,,Droit,12.0,23.0,,11.0,O,N,N,N,N
2018,2018 _ 122,2,,SEM,Dommages matériels seulement,0,2.0,Montréal (06), 50,véhicule,12.0,1.0,3.0,1.0,Droit,33.0,23.0,,14.0,O,N,N,N,N
2018,2018 _ 123,2,20:00:00-23:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),<50,véhicule,11.0,3.0,2.0,1.0,Droit,99.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 124,2,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06),,véhicule,18.0,1.0,2.0,2.0,Droit,99.0,9.0,,11.0,O,O,N,N,N
2018,2018 _ 125,2,20:00:00-23:59:00,SEM,Léger,1,1.0,Montréal (06), 50,piéton,12.0,3.0,3.0,1.0,Droit,12.0,23.0,,14.0,O,N,N,N,O
2018,2018 _ 126,2,00:00:00-03:59:00,FDS,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,12.0,3.0,3.0,1.0,Droit,33.0,45.0,,12.0,O,N,N,N,N
2018,2018 _ 127,2,08:00:00-11:59:00,FDS,Léger,2,2.0,Montréal (06), 50,véhicule,16.0,1.0,2.0,1.0,Droit,33.0,23.0,,17.0,O,N,N,N,N
